mode,alg,ds,skew,throughput
sgx,CrkJoin+Skew,A,0.4,67.27
sgx,CrkJoin+Skew,A,0.5,65.15
sgx,CrkJoin+Skew,A,0.6,64.96
sgx,CrkJoin+Skew,A,0.7,65.85
sgx,CrkJoin+Skew,A,0.8,61.47
sgx,CrkJoin+Skew,A,0.9,59.57
sgx,CrkJoin+Skew,A,1,62.73
sgx,CrkJoin+Skew,B,0.4,75.61
sgx,CrkJoin+Skew,B,0.5,73.19
sgx,CrkJoin+Skew,B,0.6,73.31
sgx,CrkJoin+Skew,B,0.7,75.53
sgx,CrkJoin+Skew,B,0.8,74.11
sgx,CrkJoin+Skew,B,0.9,71.99
sgx,CrkJoin+Skew,B,1,74.37
sgx,CrkJoin,A,0.4,62.62
sgx,CrkJoin,A,0.5,58.63
sgx,CrkJoin,A,0.6,59.79
sgx,CrkJoin,A,0.7,56.68
sgx,CrkJoin,A,0.8,54.19
sgx,CrkJoin,A,0.9,53.77
sgx,CrkJoin,A,1,57.29
sgx,CrkJoin,A,1.1,53.31
sgx,CrkJoin,A,1.2,61.16
sgx,CrkJoin,A,1.3,67.29
sgx,CrkJoin,B,0.4,70.54
sgx,CrkJoin,B,0.5,67.51
sgx,CrkJoin,B,0.6,62.95
sgx,CrkJoin,B,0.7,60.21
sgx,CrkJoin,B,0.8,57.06
sgx,CrkJoin,B,0.9,55.78
sgx,CrkJoin,B,1,57.54
sgx,CrkJoin,B,1.1,62.58
sgx,CrkJoin,B,1.2,68.29
sgx,CrkJoin,B,1.3,72.04
sgx,RHO,A,0.4,15.89
sgx,RHO,A,0.5,15.83
sgx,RHO,A,0.6,15.78
sgx,RHO,A,0.7,15.81
sgx,RHO,A,0.8,15.8
sgx,RHO,A,0.9,16.04
sgx,RHO,A,1,16.55
sgx,RHO,A,1.1,17.21
sgx,RHO,A,1.2,17.89
sgx,RHO,A,1.3,18.69
sgx,RHO,B,0.4,15.64
sgx,RHO,B,0.5,15.06
sgx,RHO,B,0.6,15.34
sgx,RHO,B,0.7,15.82
sgx,RHO,B,0.8,16.0
sgx,RHO,B,0.9,16.26
sgx,RHO,B,1,17.9
sgx,RHO,B,1.1,18.55
sgx,RHO,B,1.2,18.98
sgx,RHO,B,1.3,18.32
sgx,MCJoin,A,0.4,19.55
sgx,MCJoin,A,0.5,19.56
sgx,MCJoin,A,0.6,19.58
sgx,MCJoin,A,0.7,19.64
sgx,MCJoin,A,0.8,19.7
sgx,MCJoin,A,0.9,19.8
sgx,MCJoin,A,1,19.98
sgx,MCJoin,A,1.1,20.27
sgx,MCJoin,A,1.2,20.81
sgx,MCJoin,A,1.3,21.32
sgx,MCJoin,B,0.4,6.81
sgx,MCJoin,B,0.5,6.79
sgx,MCJoin,B,0.6,6.8
sgx,MCJoin,B,0.7,6.79
sgx,MCJoin,B,0.8,6.79
sgx,MCJoin,B,0.9,6.81
sgx,MCJoin,B,1,6.8
sgx,MCJoin,B,1.1,6.84
sgx,MCJoin,B,1.2,6.88
sgx,MCJoin,B,1.3,6.9
sgx,PaMeCo,A,0.4,10.92
sgx,PaMeCo,A,0.5,10.71
sgx,PaMeCo,A,0.6,10.57
sgx,PaMeCo,A,0.7,10.53
sgx,PaMeCo,A,0.8,10.51
sgx,PaMeCo,A,0.9,10.62
sgx,PaMeCo,A,1,11.31
sgx,PaMeCo,A,1.1,13.33
sgx,PaMeCo,A,1.2,17.29
sgx,PaMeCo,A,1.3,20.93
sgx,PaMeCo,B,0.4,9.59
sgx,PaMeCo,B,0.5,9.52
sgx,PaMeCo,B,0.6,9.47
sgx,PaMeCo,B,0.7,9.41
sgx,PaMeCo,B,0.8,9.41
sgx,PaMeCo,B,0.9,9.45
sgx,PaMeCo,B,1,9.79
sgx,PaMeCo,B,1.1,10.56
sgx,PaMeCo,B,1.2,11.71
sgx,PaMeCo,B,1.3,12.51