alg,dataset,queries,throughput
CrkJoin,A,1,79.0661
CrkJoin,A,2,54.6079
CrkJoin,A,3,40.4959
CrkJoin,A,4,31.5881
CrkJoin,A,5,25.627
CrkJoin,A,6,21.4994
CrkJoin,A,7,18.4234
CrkJoin,A,8,15.9219
CrkJoin,A,9,14.4643
CrkJoin,A,10,13.0909
CrkJoin,A,11,11.6489
CrkJoin,A,12,10.7135
CrkJoin,A,13,9.8496
CrkJoin,A,14,9.1084
CrkJoin,A,15,8.4898
CrkJoin,A,16,7.923
CrkJoin,A,17,7.5325
CrkJoin,A,18,7.2485
CrkJoin,A,19,6.8526
CrkJoin,A,20,6.5172
CrkJoin,A,21,6.2854
CrkJoin,A,22,6.0341
CrkJoin,A,23,5.7889
CrkJoin,A,24,5.5573
CrkJoin,A,25,5.2844
RHO,A,1,15.8044
RHO,A,2,0.11
RHO,A,3,0.0435
RHO,A,4,0.025
RHO,A,5,0.0169
RHO,A,6,0.0131
RHO,A,7,0.0108
RHO,A,8,0.0091
RHO,A,9,0.0077
RHO,A,10,0.0068
RHO,A,11,0.006
RHO,A,12,0.0053
RHO,A,13,0.0048
RHO,A,14,0.0043
RHO,A,15,0.004
RHO,A,16,0.0036
RHO,A,17,0.0031
MCJoin,A,1,4.9276
MCJoin,A,2,3.2567
MCJoin,A,3,0.2557
MCJoin,A,4,0.1846
MCJoin,A,5,0.113
MCJoin,A,6,0.0846
MCJoin,A,7,0.0657
MCJoin,A,8,0.0557
MCJoin,A,9,0.0406
MCJoin,A,10,0.0347
MCJoin,A,11,0.0296
MCJoin,A,12,0.0256
MCJoin,A,13,0.0227
MCJoin,A,14,0.0201
MCJoin,A,15,0.018
MCJoin,A,16,0.0167
MCJoin,A,17,0.0153
PaMeCo,A,1,13.1901
PaMeCo,A,2,6.0297
PaMeCo,A,3,0.7799
PaMeCo,A,4,0.4791
PaMeCo,A,5,0.3369
PaMeCo,A,6,0.2708
PaMeCo,A,7,0.1928
PaMeCo,A,8,0.1325
PaMeCo,A,9,0.1023
PaMeCo,A,10,0.0916
PaMeCo,A,11,0.0751
PaMeCo,A,12,0.0617
PaMeCo,A,13,0.0536
PaMeCo,A,14,0.0501
PaMeCo,A,15,0.0485
PaMeCo,A,16,0.0469
PaMeCo,A,17,0.0465
CrkJoin,D,1,79.3834
CrkJoin,D,2,57.4825
CrkJoin,D,3,42.5528
CrkJoin,D,4,33.3113
CrkJoin,D,5,27.3241
CrkJoin,D,6,23.0176
CrkJoin,D,7,19.9778
CrkJoin,D,8,17.1244
CrkJoin,D,9,15.4245
CrkJoin,D,10,13.7553
CrkJoin,D,11,12.442
CrkJoin,D,12,11.3546
CrkJoin,D,13,10.5902
CrkJoin,D,14,9.8975
CrkJoin,D,15,9.1992
CrkJoin,D,16,8.8187
CrkJoin,D,17,8.2252
RHO,D,1,15.8427
RHO,D,2,0.1139
RHO,D,3,0.0462
RHO,D,4,0.025
RHO,D,5,0.0167
RHO,D,6,0.0136
RHO,D,7,0.0109
RHO,D,8,0.0091
RHO,D,9,0.0079
RHO,D,10,0.0068
RHO,D,11,0.006
RHO,D,12,0.0053
RHO,D,13,0.0048
RHO,D,14,0.0043
RHO,D,15,0.004
RHO,D,16,0.0037
RHO,D,17,0.0033
MCJoin,D,1,10.9913
MCJoin,D,2,4.9695
MCJoin,D,3,2.5878
MCJoin,D,4,1.7076
MCJoin,D,5,0.4185
MCJoin,D,6,0.2835
MCJoin,D,7,0.2087
MCJoin,D,8,0.1644
MCJoin,D,9,0.1224
MCJoin,D,10,0.098
MCJoin,D,11,0.084
MCJoin,D,12,0.0714
MCJoin,D,13,0.0607
MCJoin,D,14,0.0537
MCJoin,D,15,0.0494
MCJoin,D,16,0.0444
MCJoin,D,17,0.0412
PaMeCo,D,1,22.4592
PaMeCo,D,2,11.1101
PaMeCo,D,3,1.7789
PaMeCo,D,4,1.1271
PaMeCo,D,5,0.8043
PaMeCo,D,6,0.5655
PaMeCo,D,7,0.3524
PaMeCo,D,8,0.2571
PaMeCo,D,9,0.2082
PaMeCo,D,10,0.1841
PaMeCo,D,11,0.1505
PaMeCo,D,12,0.1259
PaMeCo,D,13,0.1162
PaMeCo,D,14,0.1064
PaMeCo,D,15,0.0992
PaMeCo,D,16,0.0852
PaMeCo,D,17,0.0855